country,score_sm,score_md,score_lg,score_trf,avg_score
afghanistan,0.0,0.125,0.2553571428571429,0.4392857142857142,0.20491071428571428
albania,0.20565656565656565,0.31945609945609943,0.2275213675213675,0.7058547008547008,0.36462218337218333
algeria,0.0,0.13999999999999999,0.18153846153846154,0.39366515837104077,0.17880090497737558
andorra,0.04444444444444444,0.16666666666666666,0.16111111111111112,0.6555555555555556,0.2569444444444444
angola,0.3111111111111111,0.301010101010101,0.41010101010101013,0.6828282828282828,0.42626262626262623
argentina,0.0784313725490196,0.49311211664152843,0.550718954248366,0.6561378490790255,0.4446000731294849
armenia,0.10909090909090909,0.3503030303030303,0.2957575757575757,0.6399108734402852,0.3487655971479501
aruba,0.18241758241758244,0.2956043956043956,0.3538461538461538,0.6186202686202685,0.36262210012210006
australia,0.36702741702741704,0.33953823953823953,0.6092352092352092,0.8675324675324674,0.5458333333333334
austria,0.3593808805573512,0.44978668390433096,0.4867097608274079,0.8246556058320763,0.5301332327802916
azerbaijan,0.10303030303030303,0.38636363636363635,0.2492424242424242,0.5676767676767678,0.32657828282828283
bahamas,0.2899242424242424,0.35212121212121217,0.35878787878787877,0.7811363636363636,0.4454924242424243
bahrain,0.06395604395604396,0.21900099900099904,0.2555644355644356,0.6021578421578422,0.2851698301698302
bangladesh,0.0,0.20142857142857143,0.08571428571428572,0.7157142857142856,0.25071428571428567
barbados,0.2650793650793651,0.43015873015873013,0.43650793650793646,0.8322344322344323,0.490995115995116
belarus,0.08552631578947369,0.30815789473684213,0.3581578947368421,0.696497975708502,0.362085020242915
belgium,0.05636363636363637,0.10909090909090909,0.2831818181818182,0.7556060606060606,0.3010606060606061
belize,0.13333333333333333,0.15833333333333333,0.11666666666666665,0.633974358974359,0.2605769230769231
benin,0.16444444444444445,0.0,0.04,0.6533333333333333,0.21444444444444444
bermuda,0.2994949494949495,0.346969696969697,0.41767676767676765,0.861111111111111,0.48131313131313125
bolivia,0.2515151515151515,0.4027705627705627,0.38277056277056276,0.9022222222222223,0.4848196248196248
bosnia and herzegovina,0.1276190476190476,0.14285714285714285,0.5155555555555555,0.6139682539682539,0.35
botswana,0.0,0.04722222222222222,0.11388888888888889,0.7016666666666665,0.2156944444444444
brazil,0.04857142857142857,0.42253968253968244,0.38476190476190475,0.6774603174603173,0.3833333333333333
british virgin islands,0.05714285714285714,0.39761904761904765,0.42333333333333334,0.71,0.39702380952380956
brunei,0.016666666666666666,0.016666666666666666,0.10833333333333335,0.752136752136752,0.22345085470085468
bulgaria,0.0,0.13999999999999999,0.10427350427350426,0.6074358974358975,0.21292735042735045
burkina faso,0.12606060606060607,0.31848484848484854,0.30666666666666664,0.6321212121212121,0.3458333333333333
cambodia,0.3583333333333333,0.4833333333333333,0.5333333333333333,0.7277777777777777,0.5256944444444445
cameroon,0.20222222222222222,0.51,0.53,0.8949999999999999,0.5343055555555556
canada,0.18205128205128207,0.6262443438914026,0.4217647058823529,0.8240573152337858,0.5135294117647058
cape verde,0.018181818181818184,0.12167832167832167,0.17622377622377622,0.7049550449550449,0.25525974025974024
cayman islands,0.25142857142857145,0.4428571428571429,0.26857142857142857,0.6971428571428572,0.41500000000000004
chile,0.3063492063492063,0.6645743145743146,0.4428571428571429,0.8161616161616163,0.5574855699855701
china,0.11090909090909089,0.286969696969697,0.246969696969697,0.9333333333333332,0.39454545454545453
colombia,0.3024475524475524,0.7177697302697302,0.6977647352647353,0.7107767232767233,0.6071896853146852
costa rica,0.10267379679144384,0.2299465240641711,0.3755233002291826,0.7212834224598932,0.3573567608861727
croatia,0.07094017094017094,0.06222222222222222,0.12854700854700854,0.7403418803418803,0.25051282051282053
cuba,0.05357142857142857,0.30107142857142855,0.3385714285714286,0.5296978021978022,0.30572802197802196
curaçao,0.2671428571428571,0.4428571428571429,0.32333333333333336,0.6631746031746032,0.42412698412698413
cyprus,0.25128205128205133,0.425,0.4850427350427351,0.7982905982905983,0.4899038461538462
czechia,0.061764705882352944,0.38609566903684545,0.3057336780866193,0.7530575307045895,0.37666289592760177
côte d’ivoire,0.17059829059829063,0.37948717948717947,0.33410256410256406,0.8062393162393162,0.4226068376068376
democratic republic of the congo,0.050793650793650794,0.02857142857142857,0.06190476190476191,0.4793650793650793,0.15515873015873016
denmark,0.20909090909090908,0.4883116883116883,0.38181818181818183,0.616017316017316,0.42380952380952386
dominican republic,0.333015873015873,0.5495238095238095,0.6285714285714286,0.819096459096459,0.5825518925518925
ecuador,0.37799533799533797,0.48337995337995343,0.4257692307692308,0.5135198135198135,0.4501660839160839
egypt,0.1181818181818182,0.29242424242424236,0.41893939393939394,0.6902958152958153,0.37996031746031744
el salvador,0.0,0.26666666666666666,0.12,0.5516666666666666,0.2345833333333333
estonia,0.0925,0.16787878787878788,0.12,0.5384848484848485,0.22971590909090908
ethiopia,0.25,0.35,0.3325,0.7066666666666668,0.40979166666666667
faroe islands,0.25421245421245425,0.49585414585414583,0.4273559773559773,0.7533799533799534,0.4827006327006327
fiji,0.025,0.2907142857142857,0.21071428571428572,0.5728571428571428,0.27482142857142855
finland,0.2897435897435897,0.5301282051282051,0.6008547008547008,0.8540598290598291,0.5686965811965812
france,0.12525252525252525,0.3579098679098679,0.42275835275835283,0.7848368298368299,0.422689393939394
gabon,0.09583333333333334,0.29,0.6021153846153846,0.655619658119658,0.410892094017094
georgia,0.1448018648018648,0.14265734265734265,0.3006460206460207,0.7601065601065602,0.3370529470529471
germany,0.14166666666666666,0.25,0.21666666666666665,0.5020604395604396,0.2775984432234432
ghana,0.08787878787878786,0.3090909090909091,0.25606060606060604,0.6435064935064935,0.32413419913419916
gibraltar,0.17222222222222222,0.20201465201465202,0.40323565323565325,0.7996947496947497,0.39429181929181933
greece,0.09857142857142856,0.20517316017316017,0.13714285714285715,0.6934632034632034,0.2835876623376623
greenland,0.02222222222222222,0.24444444444444446,0.19027777777777777,0.5116880341880342,0.24215811965811967
guadeloupe,0.05,0.08472222222222223,0.12126068376068377,0.6873931623931624,0.2358440170940171
guatemala,0.11976911976911978,0.3523629148629149,0.42651515151515146,0.8123015873015873,0.42773719336219335
guernsey,0.16444444444444445,0.36817460317460315,0.23555555555555557,0.6197619047619047,0.34698412698412695
guinea,0.25590909090909086,0.5339393939393939,0.3025757575757576,0.6706060606060605,0.4407575757575757
honduras,0.07166666666666667,0.285,0.24666666666666667,0.6683333333333333,0.3179166666666666
hong kong,0.21904761904761907,0.5702075702075702,0.46593406593406594,0.9247863247863247,0.544993894993895
hungary,0.3450793650793651,0.592034632034632,0.5056565656565656,0.8254545454545454,0.567056277056277
iceland,0.04871794871794872,0.3115384615384616,0.26826923076923076,0.9012820512820513,0.3824519230769231
india,0.1123076923076923,0.4046153846153846,0.7473504273504273,0.7389743589743589,0.5008119658119659
indonesia,0.1,0.08,0.1766666666666667,0.45666666666666667,0.20333333333333334
iran,0.02,0.02,0.02,0.3915151515151515,0.11287878787878787
iraq,0.08333333333333334,0.26774891774891774,0.27813852813852813,0.6458874458874458,0.31877705627705627
ireland,0.09740259740259741,0.2325674325674326,0.3630569430569431,0.7753446553446554,0.3670929070929071
isle of man,0.06,0.27166666666666667,0.22055555555555556,0.5835353535353536,0.28393939393939394
israel,0.14210526315789473,0.2853801169590643,0.14436090225563908,0.6394319131161236,0.30281954887218043
italy,0.25952380952380955,0.4627705627705628,0.4627705627705628,0.7339139292080469,0.47974471606824554
jamaica,0.0,0.2,0.1401098901098901,0.8192307692307692,0.2898351648351648
japan,0.4904761904761904,0.7666666666666667,0.7833333333333333,0.91991341991342,0.7400974025974025
jersey,0.11538461538461538,0.18961038961038962,0.1907092907092907,0.8443556443556444,0.335014985014985
jordan,0.0365079365079365,0.20984126984126986,0.30412698412698413,0.7158730158730158,0.3165873015873016
kazakhstan,0.1181818181818182,0.13636363636363638,0.34949494949494947,0.38863636363636367,0.24816919191919193
kenya,0.2914285714285714,0.39666666666666667,0.3180952380952381,0.6714285714285715,0.4194047619047619
kosovo,0.12857142857142856,0.2779220779220779,0.31277056277056275,0.6937229437229437,0.35324675324675325
kuwait,0.18041958041958042,0.375944055944056,0.3786013986013986,0.6058275058275059,0.38519813519813517
kyrgyzstan,0.11111111111111112,0.43047619047619046,0.47285714285714286,0.6985714285714286,0.4282539682539683
laos,0.0,0.009523809523809523,0.18241758241758244,0.4227106227106228,0.1536630036630037
latvia,0.08333333333333334,0.3892857142857143,0.3466666666666667,0.844404761904762,0.41592261904761907
lebanon,0.2062823725981621,0.39722639933166254,0.41981620718462825,0.7058312447786131,0.4322890559732665
lesotho,0.02,0.02,0.02,0.5798707175177764,0.15996767937944412
libya,0.02857142857142857,0.02857142857142857,0.315,0.5599999999999999,0.2330357142857143
liechtenstein,0.03333333333333333,0.4973160173160173,0.35982683982683983,0.7444155844155844,0.4087229437229437
lithuania,0.6252503052503053,0.39731379731379735,0.5520634920634919,0.8538217338217338,0.6071123321123321
luxembourg,0.30586080586080583,0.34615384615384615,0.3018315018315018,0.8100732600732602,0.44097985347985347
macau,0.13999999999999999,0.2,0.3166666666666667,0.7012121212121212,0.339469696969697
macedonia,0.0,0.1842105263157895,0.17105263157894737,0.7088972431077694,0.2660401002506265
