name,score_sm,score_md,score_lg,score_trf
Aaliyah,0.8786494538232373,1.0,1.0,0.8615690168818272
Abigail,0.9970873786407767,1.0,1.0,0.6388349514563106
Aiden,0.4305637399332155,0.6275780789628757,0.9848752700844627,0.7853074052249067
Alexander,0.5827928271652041,0.9912247233880198,0.9998092331171309,0.6816100724914155
Amir,0.9646876212650368,1.0,1.0,0.8680636398913465
Angel,0.2954898911353033,0.3213452566096423,0.1947900466562986,0.65649300155521
Angela,0.4351367073880163,0.7446189645142525,0.9625751405856118,0.9490013573783207
Ashley,0.3008832565284178,0.9834869431643625,0.8740399385560675,0.9594854070660522
Ava,0.16071083639173267,1.0,0.9998068379370292,0.765887579679351
Benjamin,0.997451979615837,0.9992159937279498,1.0,0.537828302626421
Camila,0.28747553816046967,1.0,1.0,0.9123287671232877
Chaya,0.9880952380952381,1.0,1.0,0.8114134542705971
Chloe,0.570703125,0.1583984375,0.216015625,0.9693359375
Daniel,0.28799231508165224,0.4612872238232469,0.7965417867435158,0.7056676272814602
David,0.546622542339887,0.7730192719486081,0.8355071053143859,0.5958730776717929
Dylan,0.8216950449588675,0.9998086856705567,1.0,0.9479625023914291
Elijah,0.051978277734678044,0.02094647013188518,0.005624515128006206,0.11442979053529868
Emily,0.38071164689869724,0.9988333657398406,0.9945557067859226,0.8905308185883726
Emma,0.940218432649933,0.9988503544740371,1.0,0.8043686529986588
Eric,0.9982931917314621,1.0,1.0,0.8812820026550351
Esther,0.3171255614137864,0.9986330794766647,0.9939464948252295,0.4446397188049209
Ethan,1.0,1.0,1.0,0.6929637526652452
Grace,0.4014377601210745,0.7739311388573591,0.7154748391978812,0.817631479379493
Isabella,0.9951475155279503,1.0,1.0,0.547360248447205
Jack,1.0,1.0,1.0,0.8661293493218006
Jacob,0.015505359877488514,0.032924961715160794,0.06527565084226647,0.3083843797856049
James,0.9725651577503429,0.9580638839898099,0.9265138154027043,0.6551048402900255
Jason,0.498252427184466,0.37902912621359225,0.3667961165048544,0.6724271844660195
Jayden,0.9784103935804356,0.9719144058081773,0.9711501719526175,0.8683607183798242
Jeremiah,0.010833816985877346,0.2847746179144902,0.0001934610176049526,0.4043335267943509
Joseph,0.9686953140190551,0.9889169745284854,0.9992222438265603,0.402099941668287
Joshua,1.0,0.9969442322383499,0.9986631016042781,0.5190985485103132
Josiah,0.07899356348741954,0.4872244977569729,0.7731616929978545,0.03003705870879657
Justin,0.9998054096127651,1.0,0.9982486865148862,0.861646234676007
Kayla,0.11319648093841642,1.0,1.0,0.9691104594330401
Leah,0.2727449455676516,1.0,1.0,0.6866251944012441
Liam,0.974995228096965,0.9998091238786028,1.0,0.9268944455048673
London,1.0,1.0,1.0,0.9331530139103554
Lucas,0.9961089494163424,0.9799610894941634,0.9937743190661479,0.9105058365758755
Madison,1.0,0.9994352409638554,1.0,0.921875
Mason,0.9978144247963441,0.7472680309954302,0.9608583349890721,0.8631035167891913
Matthew,0.14447864563293575,0.761446710273182,0.9091958445555983,0.5001923816852636
Mia,0.9737711288129007,1.0,0.9998057120652808,0.9422964833883816
Michael,0.9958404235205143,0.9986764983928909,1.0,0.8644356211003971
Miriam,0.999036794451936,0.9947986900404546,0.9967251011365825,0.7222115199383549
Moshe,0.9963940026570507,0.9996204213323211,1.0,0.6638830897703549
Muhammad,1.0,1.0,1.0,0.9772899318697956
Noah,0.9842259006815969,1.0,1.0,0.6109055501460565
Olivia,1.0,1.0,1.0,0.9487179487179487
Rachel,0.7186369693508471,0.9961926518180088,0.996954121454407,0.8149628783552256
Ryan,0.9085434700790365,0.9994354535190064,0.9977418140760256,0.9290553255551374
Sarah,1.0,1.0,1.0,0.7768578750246402
Sebastian,0.999423520368947,0.9978862413528056,1.0,0.7486548808608763
Serenity,0.6183649748159628,0.9804339403332042,0.9323905462998837,0.6935296396745447
Sofia,0.3103179247123074,0.9806904622586308,1.0,0.7994928808269943
Sophia,0.9238319591676483,0.9998036906164115,1.0,0.7497055359246172
Taylor,1.0,1.0,1.0,0.9792233009708737
Victoria,0.2622823984526112,0.9845261121856866,0.9963249516441006,0.8965183752417795
